-909,-9008,48
-909,-9009,48
8561,7912,48
8563,7912,48
8562,7911,47
8561,7913,47
8562,7912,47
8565,7912,47
1864,-1345,46
3053,-174,46
3055,-173,46
1680,5067,46
6668,-2956,46
6669,-2957,46
6670,-2956,46
7016,-4929,46
-909,-9010,46
8564,7911,46
8564,7912,46
8564,7913,46
-9325,-9724,46
3053,-173,45
3054,-173,45
1713,-5158,45
1712,-5159,45
1713,-5159,45
5857,-135,45
6670,-2957,45
7522,1405,45
3697,-7615,45
-5326,-7296,45
-908,-9009,45
-5676,-7630,45
-5678,-7629,45
-5677,-7631,45
-6308,-9418,45
8563,7910,45
8563,7911,45
8562,7913,45
8565,7911,45
8566,7912,45
-9324,-9723,45
